Method,Recall@1,Recall@5,Recall@10,MRR@10
Local_BM25,0.6363,0.8231,0.879,0.734
Azure_Keyword,0.7452,0.8979,0.9314,0.8284
Local_Dense,0.6673,0.8876,0.9276,0.7836
Azure_Vector,0.6673,0.8876,0.9276,0.7836
Local_Hybrid,0.7033,0.8774,0.934,0.8005
Azure_Hybrid,0.7378,0.9135,0.9444,0.8327
